,ip_address,daytime,day,cell_id,count
0,0.98.248.97,2.Morning,1,63,2
1,0.98.248.97,4.Evening,1,18,2
2,0.98.248.97,2.Morning,2,63,2
3,0.98.248.97,5.Night,2,18,4
4,0.98.248.97,2.Morning,3,63,2
5,0.98.248.97,3.Afternoon,3,18,2
6,0.98.248.97,5.Night,3,18,2
7,0.98.248.97,3.Afternoon,4,18,2
8,0.98.248.97,3.Afternoon,4,63,2
9,0.98.248.97,5.Night,4,18,2
10,0.98.248.97,3.Afternoon,5,63,2
11,0.98.248.97,4.Evening,5,18,2
12,0.98.248.97,2.Morning,6,18,1
13,0.98.248.97,2.Morning,6,40,3
14,0.98.248.97,2.Morning,7,18,1
15,0.98.248.97,2.Morning,7,46,1
16,0.98.248.97,3.Afternoon,8,18,2
17,0.98.248.97,3.Afternoon,8,63,2
18,0.98.248.97,5.Night,8,18,2
19,0.98.248.97,2.Morning,9,63,2
20,0.98.248.97,3.Afternoon,9,18,2
21,0.98.248.97,3.Afternoon,10,63,2
22,0.98.248.97,4.Evening,10,18,2
23,0.98.248.97,2.Morning,11,63,2
24,0.98.248.97,4.Evening,11,18,2
25,0.98.248.97,5.Night,11,18,2
26,0.98.248.97,3.Afternoon,12,63,2
27,0.98.248.97,4.Evening,12,18,2
28,0.98.248.97,2.Morning,13,18,1
29,0.98.248.97,2.Morning,13,92,2
30,0.98.248.97,2.Morning,14,18,2
31,0.98.248.97,3.Afternoon,15,63,2
32,0.98.248.97,4.Evening,15,18,4
33,0.98.248.97,2.Morning,16,63,2
34,0.98.248.97,4.Evening,16,18,2
35,0.98.248.97,2.Morning,17,63,2
36,0.98.248.97,5.Night,17,18,2
37,0.98.248.97,3.Afternoon,18,63,2
38,0.98.248.97,4.Evening,18,18,2
39,0.98.248.97,3.Afternoon,19,63,2
40,0.98.248.97,4.Evening,19,18,2
41,0.98.248.97,1.Early,20,18,1
42,0.98.248.97,1.Early,20,61,3
43,10.229.150.53,3.Afternoon,1,63,2
44,10.229.150.53,3.Afternoon,1,85,2
45,10.229.150.53,5.Night,1,85,2
46,10.229.150.53,3.Afternoon,2,63,2
47,10.229.150.53,3.Afternoon,2,85,2
48,10.229.150.53,4.Evening,2,85,2
49,10.229.150.53,3.Afternoon,3,63,2
50,10.229.150.53,4.Evening,3,85,2
51,10.229.150.53,5.Night,3,85,2
52,10.229.150.53,3.Afternoon,4,63,2
53,10.229.150.53,4.Evening,4,85,2
54,10.229.150.53,5.Night,4,85,2
55,10.229.150.53,2.Morning,5,63,2
56,10.229.150.53,4.Evening,5,85,2
57,10.229.150.53,5.Night,5,85,2
58,10.229.150.53,1.Early,6,85,2
59,10.229.150.53,1.Early,7,12,3
60,10.229.150.53,1.Early,7,85,1
61,10.229.150.53,3.Afternoon,8,63,2
62,10.229.150.53,4.Evening,8,85,2
63,10.229.150.53,3.Afternoon,9,63,2
64,10.229.150.53,4.Evening,9,85,2
65,10.229.150.53,5.Night,9,85,2
66,10.229.150.53,3.Afternoon,10,63,2
67,10.229.150.53,4.Evening,10,85,2
68,10.229.150.53,5.Night,10,85,2
69,10.229.150.53,3.Afternoon,11,63,2
70,10.229.150.53,4.Evening,11,85,2
71,10.229.150.53,5.Night,11,85,2
72,10.229.150.53,3.Afternoon,12,63,2
73,10.229.150.53,4.Evening,12,85,2
74,10.229.150.53,2.Morning,13,36,1
75,10.229.150.53,2.Morning,13,85,3
76,10.229.150.53,2.Morning,14,49,1
77,10.229.150.53,2.Morning,14,85,3
78,10.229.150.53,2.Morning,15,63,2
79,10.229.150.53,4.Evening,15,85,2
80,10.229.150.53,5.Night,15,85,2
81,10.229.150.53,3.Afternoon,16,63,2
82,10.229.150.53,4.Evening,16,85,2
83,10.229.150.53,5.Night,16,85,2
84,10.229.150.53,2.Morning,17,63,2
