,user_A,user_B,day
2,113.244.164.228,126.107.209.19,3
3,113.244.164.228,126.107.209.19,8
8,113.244.164.228,126.107.209.19,11
13,113.244.164.228,126.107.209.19,17
0,131.210.249.71,37.238.140.76,1
4,131.210.249.71,245.191.255.251,8
5,131.210.249.71,37.238.140.76,8
7,131.210.249.71,245.191.255.251,10
9,131.210.249.71,245.191.255.251,11
10,131.210.249.71,245.191.255.251,12
11,131.210.249.71,37.238.140.76,15
12,131.210.249.71,245.191.255.251,16
14,131.210.249.71,37.238.140.76,17
17,131.210.249.71,37.238.140.76,19
1,135.104.79.52,233.228.129.122,1
15,135.104.79.52,233.228.129.122,18
6,245.191.255.251,37.238.140.76,8
16,245.191.255.251,37.238.140.76,18
