ip_address,poi_type_query,count
0.98.248.97,dojo,3
0.98.248.97,supermarket,3
0.98.248.97,cafeteria,5
0.98.248.97,restaurant,5
10.229.150.53,cafeteria,2
10.229.150.53,restaurant,2
10.229.150.53,supermarket,3
10.229.150.53,dojo,4
10.229.150.53,gym,4
10.229.150.53,club,5
100.255.65.73,dojo,3
100.255.65.73,cafeteria,5
100.255.65.73,club,5
100.255.65.73,restaurant,5
101.193.212.180,club,3
101.193.212.180,gym,4
101.193.212.180,restaurant,5
101.193.212.180,cafeteria,8
103.107.27.105,bar,5
103.107.27.105,cafeteria,5
103.107.27.105,gym,6
103.107.27.105,restaurant,7
103.75.228.13,bar,1
103.75.228.13,restaurant,4
103.75.228.13,supermarket,6
103.75.228.13,cafeteria,7
104.149.206.168,gym,3
104.149.206.168,supermarket,6
104.149.206.168,cafeteria,7
104.149.206.168,restaurant,7
105.148.239.144,supermarket,2
105.148.239.144,gym,3
105.148.239.144,restaurant,7
105.148.239.144,cafeteria,8
106.44.169.163,restaurant,2
106.44.169.163,bar,4
106.44.169.163,supermarket,4
106.44.169.163,cafeteria,5
106.44.169.163,club,5
107.201.148.122,gym,4
107.201.148.122,dojo,5
107.201.148.122,restaurant,5
107.201.148.122,cafeteria,7
11.105.81.179,cafeteria,2
11.105.81.179,club,2
11.105.81.179,dojo,4
11.105.81.179,supermarket,5
11.105.81.179,restaurant,7
11.173.13.2,cafeteria,2
11.173.13.2,dojo,3
11.173.13.2,gym,4
11.173.13.2,supermarket,4
11.173.13.2,restaurant,6
113.167.82.177,restaurant,2
113.167.82.177,dojo,3
113.167.82.177,bar,5
113.167.82.177,gym,5
113.167.82.177,cafeteria,9
113.244.164.228,restaurant,2
113.244.164.228,supermarket,2
113.244.164.228,club,4
113.244.164.228,cafeteria,6
113.244.164.228,dojo,6
114.193.164.29,dojo,3
114.193.164.29,restaurant,4
114.193.164.29,bar,7
114.193.164.29,cafeteria,7
115.106.150.37,cafeteria,3
115.106.150.37,dojo,4
115.106.150.37,supermarket,5
115.106.150.37,restaurant,7
115.186.150.175,dojo,1
115.186.150.175,bar,5
115.186.150.175,restaurant,6
115.186.150.175,cafeteria,7
115.207.37.109,restaurant,2
115.207.37.109,bar,4
115.207.37.109,dojo,4
115.207.37.109,cafeteria,6
115.207.37.109,club,6
117.103.63.202,cafeteria,2
117.103.63.202,club,5
117.103.63.202,gym,5
117.103.63.202,bar,6
117.103.63.202,restaurant,6
118.135.166.110,bar,3
118.135.166.110,supermarket,4
118.135.166.110,restaurant,6
118.135.166.110,cafeteria,7
121.125.118.222,gym,4
121.125.118.222,supermarket,5
121.125.118.222,cafeteria,6
121.125.118.222,restaurant,6
121.229.130.24,dojo,3
121.229.130.24,club,4
121.229.130.24,cafeteria,6
121.229.130.24,restaurant,7
123.194.67.60,restaurant,2
123.194.67.60,club,4
123.194.67.60,dojo,5
123.194.67.60,supermarket,5
123.194.67.60,cafeteria,7
123.239.52.251,cafeteria,2
123.239.52.251,dojo,2
123.239.52.251,gym,4
123.239.52.251,bar,5
123.239.52.251,restaurant,8
123.50.250.187,cafeteria,2
123.50.250.187,club,3
123.50.250.187,supermarket,4
123.50.250.187,bar,6
123.50.250.187,restaurant,6
124.223.29.175,club,4
124.223.29.175,bar,5
124.223.29.175,restaurant,6
124.223.29.175,cafeteria,7
126.107.209.19,gym,3
126.107.209.19,restaurant,5
126.107.209.19,club,6
126.107.209.19,cafeteria,8
126.150.186.135,cafeteria,2
126.150.186.135,club,2
126.150.186.135,supermarket,4
126.150.186.135,gym,5
126.150.186.135,restaurant,6
127.4.23.40,dojo,4
127.4.23.40,cafeteria,5
127.4.23.40,club,5
127.4.23.40,restaurant,6
127.94.142.97,club,4
127.94.142.97,cafeteria,6
127.94.142.97,restaurant,6
127.94.142.97,gym,7
129.133.79.138,cafeteria,2
129.133.79.138,supermarket,3
129.133.79.138,club,4
129.133.79.138,gym,4
129.133.79.138,restaurant,7
13.103.179.102,bar,2
13.103.179.102,cafeteria,2
13.103.179.102,restaurant,2
13.103.179.102,gym,3
13.103.179.102,supermarket,5
13.103.179.102,dojo,6
13.144.1.235,gym,4
13.144.1.235,cafeteria,5
13.144.1.235,restaurant,6
13.144.1.235,supermarket,6
13.191.142.105,cafeteria,2
13.191.142.105,supermarket,3
13.191.142.105,restaurant,4
13.191.142.105,bar,5
13.191.142.105,gym,6
130.144.146.191,bar,2
130.144.146.191,cafeteria,2
130.144.146.191,restaurant,2
130.144.146.191,gym,3
130.144.146.191,club,4
130.144.146.191,dojo,7
131.210.249.71,cafeteria,2
131.210.249.71,bar,4
131.210.249.71,restaurant,5
131.210.249.71,supermarket,5
131.210.249.71,club,7
132.111.36.105,cafeteria,2
132.111.36.105,gym,2
132.111.36.105,restaurant,5
132.111.36.105,bar,6
132.111.36.105,dojo,6
132.169.106.77,restaurant,2
132.169.106.77,bar,3
132.169.106.77,dojo,4
132.169.106.77,cafeteria,5
132.169.106.77,club,6
133.16.42.220,cafeteria,2
133.16.42.220,bar,3
133.16.42.220,club,3
133.16.42.220,restaurant,6
133.16.42.220,supermarket,6
